CodigoCompraAgil;RutProveedor;CodigoProducto;NombreProducto;Descripcion;Cantidad;PrecioUnitario;MontoTotalProducto
1057532-6-COT26;77.660.833-5;26141703;Sistemas de dosimetría de patrón secundario;DOSIMETROS  10 DOSIMETROS PARA TRABAJADORES  1 DOSIMETRO DE CONTROL  1 DOSIMETRO AMBIENTAL DE ACUERDO A TERMINOS DE REFERENCIAS ADJUNTOS;12;51904;622848
1057532-2-COT26;77.437.385-3;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;69900;349500
1057532-2-COT26;78.005.054-3;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;72990;364950
1057532-2-COT26;77.568.149-7;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;70000;350000
1057532-2-COT26;78.209.811-K;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;74500;372500
1057532-2-COT26;9.514.841-7;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;73520;367600
1057532-2-COT26;78.131.679-2;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;76777;383885
1057532-2-COT26;77.506.165-0;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;86855;434275
1057532-2-COT26;77.759.394-3;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;90948;454740
1057532-2-COT26;77.829.126-6;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;101614;508070
1057532-2-COT26;77.819.498-8;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;109990;549950
1057532-2-COT26;78.121.198-2;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;112350;561750
1057532-2-COT26;77.741.502-6;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;117630;588150
1057532-2-COT26;76.877.288-6;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;169000;845000
1057532-2-COT26;76.877.288-6;43221525;Sistemas de intercomunicadores;5 MOTOROLA TALKABOUT T210 — Radio Woki-Toki tipo Aficionado  •	Alerta de batería baja •	Bloqueo de teclado •	Temporizador de tiempo de espera •	Eliminación de usuario no deseado •	Conector para accesorios de un solo pin •	Alcance: hasta 32 km (según fabricante) •	Alcance en ciudad: entre 100 y 200 metros •	121 subcódigos •	20 tonos de llamada •	Display LCD iluminado;5;169000;845000
